URL                                                                                                                         , Product Title                                                                   , Product Description                                                             , Need/preference                                                  , Alternate Product Recommendation                                              , Flavour                               , Breed Size                              , Food Form, Lifestage
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-kd-with-chicken-canned                                      , k/d Kidney Care Wet Dog Food Original Can                                       , k/d Kidney Care Wet Dog Food Original Can                                       , Kidney Care                                                      , Liver Care                                                                    , Original                              ,                                         ,          , 
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-ld-canned                                                   , l/d Wet Dog Food Original                                                       , l/d Wet Dog Food Original                                                       , Liver Care                                                       ,                                                                               , Original                              , "Small Breed, Medium Breed, Large Breed", Wet Food , Adult
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-adult-advanced-fitness-large-breed-lamb-and-rice-dry             , Adult Large Breed Dry Dog Food with Lamb & Rice                                 , Adult Large Breed Dry Dog Food with Lamb & Rice                                 ,                                                                  ,                                                                               , with Lamb & Rice                      , Large Breed                             , Dry Food , Adult
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-mature-adult-7-plus-active-longevity-medium-with-chicken-dry     , Medium Mature Adult 7+ Dog Food with Chicken Dry Bag                            , Medium Mature Adult 7+ Dog Food with Chicken Dry Bag                            ,                                                                  ,                                                                               , with Chicken                          , Medium Breed                            , Dry Food , Senior
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-td-mini-dry                                                 , t/d Mini Dog Food                                                               , t/d Mini Dog Food                                                               , Dental Care                                                      , Digestive Care                                                                , with Chicken                          , "Small Breed, Medium Breed, Large Breed", Dry Food , "Adult, Senior"
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-puppy-healthy-development-medium-chicken-dry                     , Medium Puppy Food                                                               , Medium Puppy Food                                                               ,                                                                  ,                                                                               , with Chicken                          , Medium Breed                            , Dry Food , Puppy/pregnant/nursing
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-dd-duck-and-rice-dry                                        , d/d Food Sensitivities Dry Dog Food with Duck & Rice Bag                        , d/d Food Sensitivities Dry Dog Food with Duck & Rice Bag                        , Skin Care                                                        , "Digestive Care, Food Sensitivities"                                          , with Duck & Rice                      , "Small Breed, Medium Breed, Large Breed", Dry Food , "Adult, Senior"
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-adult-advanced-fitness-large-breed-with-chicken-dry              , Adult Large Breed Dry Dog Food with Chicken                                     , Adult Large Breed Dry Dog Food with Chicken                                     ,                                                                  ,                                                                               , with Chicken                          , Large Breed                             , Dry Food , Adult
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-mature-adult-7-plus-active-longevity-medium-lamb-and-rice-dry    , Mature Adult Medium Dog Food                                                    , Mature Adult Medium Dog Food                                                    ,                                                                  ,                                                                               , with Lamb & Rice                      , Medium Breed                            , Dry Food , Senior
https://www.hillspet.co.uk/dog-food/sp-canine-adult-light-canned                                                            , Light Adult Wet Dog Food with Chicken                                           , Light Adult Wet Dog Food with Chicken                                           ,                                                                  ,                                                                               , with Chicken                          , "Small Breed, Medium Breed, Large Breed", Wet Food , Adult
