   , URL                                                                                                                 , Product Title                                                                            , Product Description                                                                                                                                                                                                                                                                                                                                                                                                                                     , Food Form                                                                            , Flavor                                     , Sizes                               ,                                                                                                                                                                                                                                                                                                                                                                  , Caloric Content                                                                                                                                                           , Ingredients                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , Feeding Tips                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , Key Features                                                                                                                                                              , Average Nutrient & Caloric Content                                                                                                                                        , Nutrient    , Protein, Fat   , Carbohydrate / NFE, Crude Fiber, Calcium, Phosphorus, Potassium, Sodium, Magnesium, Vitamin C, Vitamin E , Total Omega-3 FA, Total Omega-6 FA, Ash  , Vitamin A  , Vitamin D , Beta-Carotene, EPA    , Carnitine, Adult Maintenance, DHA    , Glucosamine, Chondroitin Sulfate, Total Dietary Fiber, Lysine, Taurine, Linoleic Acid, {{consumer_nutrientTable_name_label}}     , Chloride, BCAA Total, Glutamine + Glutamate, It looks like my pet’s food is currently out of stock. When will it be available again?                                                                                                                                                          , How can I know when my pet’s food will be back in stock?                                                                                                                                                                                                                                                                   , How can I tell if my pet’s food formulation changed?                                                                                                                                                                                                                                                                                                                                     , How much should I feed my pet?                                                                                                                                                                                                                                                                                                                                   , Iron   , Copper , Zinc   , Vitamin K, Alpha-Linolenic Acid (ALA)
  0, https://www.hillspet.com/dog-food/sd-canine-adult-perfect-digestion-small-bites-chicken-brown-rice-oats-dry         , "Perfect Digestion Small Bites Chicken, Brown Rice & Whole Oats Recipe Dog Food"         , Science Diet's breakthrough nutrition supports ultimate digestive well-being & healthy microbiome. Delicious food in a small bite size                                                                                                                                                                                                                                                                                                                  , Dry Food                                                                             , "Chicken, Brown Rice & Whole Oats Recipe"  , 3.5 lb                              ,                                                                                                                                                                                                                                                                                                                                                                  , 3620 kcal/kg 359 kcal/cup†                                                                                                                                                , "Chicken, Cracked Pearled Barley, Brown Rice, Brewers Rice, Whole Grain Oats, Whole Grain Corn, Corn Gluten Meal, Chicken Meal, Chicken Fat, Chicken Liver Flavor, Pork Liver Flavor, Ground Pecan Shells, Soybean Oil, Lactic Acid, Potassium Chloride, Flaxseed, Dried Beet Pulp, Dried Citrus Pulp, Iodized Salt, Choline Chloride, Calcium Carbonate, Dicalcium Phosphate, Fish Oil, Pressed Cranberries, Pumpkin, vitamins (Vitamin E Supplement, L-Ascorbyl-2-Polyphosphate (source of Vitamin C), Niacin Supplement, Thiamine Mononitrate, Vitamin A Supplement, Calcium Pantothenate, Riboflavin Supplement, Biotin, Vitamin B12 Supplement, Pyridoxine Hydrochloride, Folic Acid, Vitamin D3 Supplement), minerals (Ferrous Sulfate, Zinc Oxide, Copper Sulfate, Manganous Oxide, Calcium Iodate, Sodium Selenite), Taurine, Mixed Tocopherols for freshness, Natural Flavors, Beta-Carotene."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , "HELPFUL TIPSAdjust feeding amounts as necessary to maintain optimal weight. If you are unsure, ask your veterinarian.New to this food? Mix increasing amounts of your pet's new food with decreasing amounts of the old food over a 7-day period.Keep fresh water available at all times!Your pets nutritional needs may change as they age. Ask your vet at every checkup.To prevent suffocation, keep the packaging out of the reach of pets and children."                                                                                                                                                                                                                                                                                                                                                                          , 3620 kcal/kg 359 kcal/cup†                                                                                                                                                , 3620 kcal/kg 359 kcal/cup†                                                                                                                                                , Dry Matter1%, 25 %   , 14.5 %, 52.2 %            , 2.1 %      , 0.95 % , 0.75 %    , 0.95 %   , 0.35 %, 0.1 %    , 144 ppm  , 450 IU/kg , 0.51 %          , 3.66 %          ,      ,            ,           ,              ,        ,          ,                  ,        ,            ,                    ,                    ,       ,        ,              ,                                           ,         ,           ,                      ,                                                                                                                                                                                                                                                  ,                                                                                                                                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                                                                                                                                  ,        ,        ,        ,          , 
  1, https://www.hillspet.com/dog-food/sd-canine-adult-small-bites-no-corn-wheat-soy-dry                                 , "Adult Small Bites No Corn, Wheat, Soy Chicken & Brown Rice Recipe dog food"             , "Supports healthy immune system, digestion, lean muscle & beautiful coat"                                                                                                                                                                                                                                                                                                                                                                               , dry                                                                                  , Chicken & Brown Rice Recipe                , 15 lb                               ,                                                                                                                                                                                                                                                                                                                                                                  , 3713 kcal/kg 389 kcal/cup†                                                                                                                                                , "Chicken, Brown Rice, Brewers Rice, Cracked Pearled Barley, Chicken Meal, Whole Grain Oats, Chicken Fat, Pea Protein, Flaxseed, Dried Beet Pulp, Chicken Liver Flavor, Lactic Acid, Potassium Chloride, Iodized Salt, Choline Chloride, Green Peas, DL-Methionine, Apples, vitamins (Vitamin E Supplement, L-Ascorbyl-2-Polyphosphate (source of Vitamin C), Niacin Supplement, Thiamine Mononitrate, Vitamin A Supplement, Calcium Pantothenate, Vitamin B12 Supplement, Pyridoxine Hydrochloride, Riboflavin Supplement, Biotin, Folic Acid, Vitamin D3 Supplement), Cranberries, Calcium Carbonate, Carrots, minerals (Ferrous Sulfate, Zinc Oxide, Copper Sulfate, Manganous Oxide, Calcium Iodate, Sodium Selenite), Taurine, Broccoli, Mixed Tocopherols for freshness, Natural Flavors, Beta-Carotene."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , "HELPFUL TIPSAdjust feeding amounts as necessary to maintain optimal weight. If you are unsure, ask your veterinarian.New to this food? Mix increasing amounts of your pet's new food with decreasing amounts of the old food over a 7-day period.Keep fresh water available at all times!Your pets nutritional needs may change as they age. Ask your vet at every checkup.To prevent suffocation, keep the packaging out of the reach of pets and children."                                                                                                                                                                                                                                                                                                                                                                          , 3713 kcal/kg 389 kcal/cup†                                                                                                                                                , 3713 kcal/kg 389 kcal/cup†                                                                                                                                                , Dry Matter1%, 23.6 % , 16.4 %, 52 %              , 1.7 %      , 0.96 % , 0.77 %    , 0.88 %   , 0.38 %, 0.116 %  , 182 ppm  , 705 IU/kg , 0.95 %          , 3.56 %          ,      ,            ,           ,              ,        ,          ,                  ,        ,            ,                    ,                    ,       ,        ,              ,                                           ,         ,           ,                      ,                                                                                                                                                                                                                                                  ,                                                                                                                                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                                                                                                                                  ,        ,        ,        ,          , 
  2, https://www.hillspet.com/dog-food/sd-canine-adult-7-plus-senior-vitality-small-breed-dry                            , Adult 7+ Senior Vitality Small & Mini Chicken Meal & Rice Recipe Dog Food                , Improves Everyday Ability to Get Up & Go                                                                                                                                                                                                                                                                                                                                                                                                                , Dry Food                                                                             , Chicken Meal & Rice Recipe                 , "3.5 lb, 12.5 lb"                   ,                                                                                                                                                                                                                                                                                                                                                                  , 3651 kcal/kg 342 kcal/cup†                                                                                                                                                , "Chicken, Brewers Rice, Yellow Peas, Cracked Pearled Barley, Whole Grain Oats, Whole Grain Corn, Egg Product, Chicken Fat, Chicken Liver Flavor, Corn Gluten Meal, Soybean Oil, Flaxseed, Pork Liver Flavor, Lactic Acid, L-Lysine, Potassium Chloride, Calcium Carbonate, Dicalcium Phosphate, Carrots, Dried Tomato Pomace, Dried Citrus Pulp, Spinach, Fish Oil, Iodized Salt, Lipoic Acid, vitamins (Vitamin E Supplement, L-Ascorbyl-2-Polyphosphate (source of Vitamin C), Niacin Supplement, Thiamine Mononitrate, Vitamin A Supplement, Calcium Pantothenate, Riboflavin Supplement, Biotin, Vitamin B12 Supplement, Pyridoxine Hydrochloride, Folic Acid, Vitamin D3 Supplement), Choline Chloride, Taurine, minerals (Ferrous Sulfate, Zinc Oxide, Copper Sulfate, Manganous Oxide, Calcium Iodate, Sodium Selenite), Natural Flavors, L-Tryptophan, Mixed Tocopherols for freshness, L-Carnitine, Beta-Carotene."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , "HELPFUL TIPSAdjust feeding amounts as necessary to maintain optimal weight. If you are unsure, ask your veterinarian.New to this food? Mix increasing amounts of your pet's new food with decreasing amounts of the old food over a 7-day period.Keep fresh water available at all times!Your pets nutritional needs may change as they age. Ask your vet at every checkup.To prevent suffocation, keep the packaging out of the reach of pets and children."                                                                                                                                                                                                                                                                                                                                                                          , 3651 kcal/kg 342 kcal/cup†                                                                                                                                                , 3651 kcal/kg 342 kcal/cup†                                                                                                                                                , Dry Matter1%, 22.4 % , 14.6 %, 55.6 %            , 1.2 %      , 1.01 % , 0.68 %    , 0.96 %   , 0.36 %, 0.093 %  , 250 ppm  , 1213 IU/kg, 0.84 %          , 3.75 %          , 6.2 %, 13123 IU/kg, 1231 IU/kg, 0.86 ppm     ,        ,          ,                  ,        ,            ,                    ,                    ,       ,        ,              ,                                           ,         ,           ,                      ,                                                                                                                                                                                                                                                  ,                                                                                                                                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                                                                                                                                  ,        ,        ,        ,          , 
  3, https://www.hillspet.com/dog-food/pd-canine-zd-low-fat-hydrolyzed-soy-canned                                        , z/d Low Fat Hydrolyzed Soy Recipe Wet Dog Food                                           , Nutrition specially formulated with hydrolyzed soy protein and low fat levels to help avoid adverse food reactions and promote healthy skin in dogs with food and fat sensitivities. Fortified with Hill's breakthrough ActivBiome+ ingredient technology clinically shown to rapidly activate the gut microbiome to support digestive health and well-being.                                                                                           , Wet Food                                                                             , Hydrolyzed Soy Recipe                      , 13 oz                               ,                                                                                                                                                                                                                                                                                                                                                                  ,                                                                                                                                                                           , "Water, corn starch, hydrolyzed soy protein, soybean oil, dicalcium phosphate, hydrolyzed chicken flavor, ground pecan shells, coconut oil, potassium chloride, flaxseed, dried beet pulp, vitamins (vitamin E supplement, thiamine mononitrate, ascorbic acid (source of vitamin C), niacin supplement, calcium pantothenate, vitamin A supplement, vitamin B12 supplement, pyridoxine hydrochloride, menadione sodium bisulfate complex (source of vitamin K), riboflavin supplement, biotin, folic acid, vitamin D3 supplement), choline chloride, dried citrus pulp, fish oil, pressed cranberries, magnesium oxide, taurine, monosodium phosphate, minerals (zinc oxide, ferrous sulfate, manganous oxide, copper sulfate, calcium iodate, sodium selenite), L-carnitine, beta-carotene."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , Ask your veterinarian for specific feeding instructions for your pet.Daily Feeding Recommendations are only a guide and a place to start.Grams are the most accurate form of measurement; cups are estimated from grams. For best results:– Gradually transition to this new food for 7 days or more.– Exclusively feed the recommended Prescription Diet dry and wet foods.– Keep fresh water available at all times.– Have your veterinarian monitor your pet's condition.– Cover and refrigerate unused portion.                                                                                                                                                                                                                                                                                                                     ,                                                                                                                                                                           ,                                                                                                                                                                           , Dry Matter1%, 29.9 % , 9.4 % , 53 %              , 1.3 %      , 0.9 %  , 0.72 %    , 0.99 %   , 0.37 %, 0.115 %  , 109 ppm  , 1584 IU/kg, 0.75 %          , 3.38 %          ,      ,            ,           ,              , 0.065 %, 305.2 ppm,                  ,        ,            ,                    ,                    ,       ,        ,              ,                                           ,         ,           ,                      ,                                                                                                                                                                                                                                                  ,                                                                                                                                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                                                                                                                                  ,        ,        ,        ,          , 
  4, https://www.hillspet.com/dog-food/pd-cd-multicare-canine-chicken-and-vegetable-canned                               , c/d Multicare Chicken & Vegetable Stew Dog Food                                          , Support for your dog’s urinary health                                                                                                                                                                                                                                                                                                                                                                                                                   , stew                                                                                 , Chicken & Vegetable Stew                   , "12.5 oz, 5.5 oz"                   ,                                                                                                                                                                                                                                                                                                                                                                  , "266 kcal / 12.5 oz (354 g) can
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             117 kcal / 5.5 oz (156 g) can"                                                                                                                                            , "Water, Chicken, Pork Liver, Carrots, Rice, Green Peas, Corn Starch, Powdered Cellulose, Soybean Oil, Hydrolyzed Chicken Flavor, Chicken Liver Flavor, Potassium Alginate, Wheat Gluten, Calcium Chloride, Guar Gum, Dicalcium Phosphate, Flaxseed, Potassium Citrate, Fish Oil, Calcium Lactate, Calcium Gluconate, vitamins (Vitamin E Supplement, Thiamine Mononitrate, Pyridoxine Hydrochloride, Niacin Supplement, Calcium Pantothenate, Vitamin B12 Supplement, Biotin, Riboflavin Supplement, Vitamin D3 Supplement, Folic Acid), Sodium Tripolyphosphate, Choline Chloride, Taurine, minerals (Zinc Oxide, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate), L-Carnitine, Beta-Carotene."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , Ask your veterinarian for specific feeding instructions for your pet. Daily Feeding Recommendations are only a guide and a place to start. Grams are the most accurate form of measurement; cups are estimated from grams.For best results:Gradually transition to this new food for 7 days or moreExclusively feed the recommended Prescription Diet dry and wet foodsKeep fresh water available at all timesHave your veterinarian monitor your pet's conditionCover and refrigerate unused portion                                                                                                                                                                                                                                                                                                                                   , "266 kcal / 12.5 oz (354 g) can
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               117 kcal / 5.5 oz (156 g) can"                                                                                                                                            , "266 kcal / 12.5 oz (354 g) can
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           117 kcal / 5.5 oz (156 g) can"                                                                                                                                            , Dry Matter1%, 22.8 % , 18.3 %, 48.5 %            , 5 %        , 0.88 % , 0.54 %    , 1 %      , 0.29 %, 0.051 %  ,          , 825 IU/kg , 0.8 %           ,                 ,      ,            ,           ,              ,        ,          ,                  ,        ,            ,                    ,                    ,       ,        ,              ,                                           ,         ,           ,                      ,                                                                                                                                                                                                                                                  ,                                                                                                                                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                                                                                                                                  ,        ,        ,        ,          , 
