URL                                                                                                                 , Product Title                                                                            , Product Description                                                                                                                                                                                                                                                                                                                                                                                                                                     , Food Form, Flavor, Size, Recommended For                                                                                                                                                                   , Ingredients                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , Feeding Tips                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , Key Features                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , Caloric Content                                                                                                                                                           , Protein, Fat   , Carbohydrate / NFE, Crude Fiber, Calcium, Phosphorus, Potassium, Sodium, Magnesium, Vitamin C, Vitamin E , Total Omega-3 FA, Total Omega-6 FA, Ash  , Vitamin A  , Vitamin D , Beta-Carotene, EPA    , Carnitine, DHA    , Glucosamine, Chondroitin Sulfate, Total Dietary Fiber, Lysine, Taurine, Linoleic Acid, {{consumer_nutrientTable_name_label}}     , Chloride, BCAA Total, Glutamine + Glutamate, Iron   , Copper , Zinc   , Vitamin K, Alpha-Linolenic Acid (ALA)
https://www.hillspet.com/dog-food/sd-canine-adult-perfect-digestion-small-bites-chicken-brown-rice-oats-dry         , "Perfect Digestion Small Bites Chicken, Brown Rice & Whole Oats Recipe Dog Food"         , Science Diet's breakthrough nutrition supports ultimate digestive well-being & healthy microbiome. Delicious food in a small bite size                                                                                                                                                                                                                                                                                                                  , N/A      , N/A   , N/A , Adult dogs 1 - 6 years to help keep their digestion in balance                                                                                                                    , "Chicken, Cracked Pearled Barley, Brown Rice, Brewers Rice, Whole Grain Oats, Whole Grain Corn, Corn Gluten Meal, Chicken Meal, Chicken Fat, Chicken Liver Flavor, Pork Liver Flavor, Ground Pecan Shells, Soybean Oil, Lactic Acid, Potassium Chloride, Flaxseed, Dried Beet Pulp, Dried Citrus Pulp, Iodized Salt, Choline Chloride, Calcium Carbonate, Dicalcium Phosphate, Fish Oil, Pressed Cranberries, Pumpkin, vitamins (Vitamin E Supplement, L-Ascorbyl-2-Polyphosphate (source of Vitamin C), Niacin Supplement, Thiamine Mononitrate, Vitamin A Supplement, Calcium Pantothenate, Riboflavin Supplement, Biotin, Vitamin B12 Supplement, Pyridoxine Hydrochloride, Folic Acid, Vitamin D3 Supplement), minerals (Ferrous Sulfate, Zinc Oxide, Copper Sulfate, Manganous Oxide, Calcium Iodate, Sodium Selenite), Taurine, Mixed Tocopherols for freshness, Natural Flavors, Beta-Carotene."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , "HELPFUL TIPSAdjust feeding amounts as necessary to maintain optimal weight. If you are unsure, ask your veterinarian.New to this food? Mix increasing amounts of your pet's new food with decreasing amounts of the old food over a 7-day period.Keep fresh water available at all times!Your pets nutritional needs may change as they age. Ask your vet at every checkup.To prevent suffocation, keep the packaging out of the reach of pets and children."                                                                                                                                                                                                                                                                                                                                                                          , "Prebiotics are nutrients that feed the billions of microbes in the gut microbiome that are essential for good health. Our breakthrough blend of prebiotics, ActivBiome+, supports each pet’s unique microbiome for healthy digestion & overall well-being Contains ActivBiome+, an exclusive blend of prebiotics, & whole grain oats and pumpkin Delicious food in a small bite size provides balanced nutrition for overall wellness to help your pet feel their best Helps your pet's body absorb & use vital nutrients High-quality protein to help maintain lean muscles Balanced nutrition and minerals for vital organ health"                                                                                                                                                                                                                      , 3620 kcal/kg 359 kcal/cup†                                                                                                                                                , 25 %   , 14.5 %, 52.2 %            , 2.1 %      , 0.95 % , 0.75 %    , 0.95 %   , 0.35 %, 0.1 %    , 144 ppm  , 450 IU/kg , 0.51 %          , 3.66 %          ,      ,            ,           ,              ,        ,          ,        ,            ,                    ,                    ,       ,        ,              ,                                           ,         ,           ,                      ,        ,        ,        ,          , 
https://www.hillspet.com/dog-food/sd-canine-adult-small-bites-no-corn-wheat-soy-dry                                 , "Adult Small Bites No Corn, Wheat, Soy Chicken & Brown Rice Recipe dog food"             , "Supports healthy immune system, digestion, lean muscle & beautiful coat"                                                                                                                                                                                                                                                                                                                                                                               , N/A      , N/A   , N/A , Adult dogs 1 - 6 years of age.                                                                                                                                                    , "Chicken, Brown Rice, Brewers Rice, Cracked Pearled Barley, Chicken Meal, Whole Grain Oats, Chicken Fat, Pea Protein, Flaxseed, Dried Beet Pulp, Chicken Liver Flavor, Lactic Acid, Potassium Chloride, Iodized Salt, Choline Chloride, Green Peas, DL-Methionine, Apples, vitamins (Vitamin E Supplement, L-Ascorbyl-2-Polyphosphate (source of Vitamin C), Niacin Supplement, Thiamine Mononitrate, Vitamin A Supplement, Calcium Pantothenate, Vitamin B12 Supplement, Pyridoxine Hydrochloride, Riboflavin Supplement, Biotin, Folic Acid, Vitamin D3 Supplement), Cranberries, Calcium Carbonate, Carrots, minerals (Ferrous Sulfate, Zinc Oxide, Copper Sulfate, Manganous Oxide, Calcium Iodate, Sodium Selenite), Taurine, Broccoli, Mixed Tocopherols for freshness, Natural Flavors, Beta-Carotene."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , "HELPFUL TIPSAdjust feeding amounts as necessary to maintain optimal weight. If you are unsure, ask your veterinarian.New to this food? Mix increasing amounts of your pet's new food with decreasing amounts of the old food over a 7-day period.Keep fresh water available at all times!Your pets nutritional needs may change as they age. Ask your vet at every checkup.To prevent suffocation, keep the packaging out of the reach of pets and children."                                                                                                                                                                                                                                                                                                                                                                          , "Hill's Science Diet Adult Small Bites No Corn, Wheat, Soy dry dog food is specially formulated to fuel the energy needs of dogs during the prime of their life. Delicious chicken flavor made with high quality, easy-to-digest ingredients in a small bite size. Balanced nutrition for holistic health including added taurine Omega-6s & Vitamin E for beautiful skin & coat High-quality protein for lean muscles Natural fibers for healthy digestion"                                                                                                                                                                                                                                                                                                                                                                                               , 3713 kcal/kg 389 kcal/cup†                                                                                                                                                , 23.6 % , 16.4 %, 52 %              , 1.7 %      , 0.96 % , 0.77 %    , 0.88 %   , 0.38 %, 0.116 %  , 182 ppm  , 705 IU/kg , 0.95 %          , 3.56 %          ,      ,            ,           ,              ,        ,          ,        ,            ,                    ,                    ,       ,        ,              ,                                           ,         ,           ,                      ,        ,        ,        ,          , 
https://www.hillspet.com/dog-food/sd-canine-adult-7-plus-senior-vitality-small-breed-dry                            , Adult 7+ Senior Vitality Small & Mini Chicken Meal & Rice Recipe Dog Food                , Improves Everyday Ability to Get Up & Go                                                                                                                                                                                                                                                                                                                                                                                                                , N/A      , N/A   , N/A , Adult dogs 7+ years of age                                                                                                                                                        , "Chicken, Brewers Rice, Yellow Peas, Cracked Pearled Barley, Whole Grain Oats, Whole Grain Corn, Egg Product, Chicken Fat, Chicken Liver Flavor, Corn Gluten Meal, Soybean Oil, Flaxseed, Pork Liver Flavor, Lactic Acid, L-Lysine, Potassium Chloride, Calcium Carbonate, Dicalcium Phosphate, Carrots, Dried Tomato Pomace, Dried Citrus Pulp, Spinach, Fish Oil, Iodized Salt, Lipoic Acid, vitamins (Vitamin E Supplement, L-Ascorbyl-2-Polyphosphate (source of Vitamin C), Niacin Supplement, Thiamine Mononitrate, Vitamin A Supplement, Calcium Pantothenate, Riboflavin Supplement, Biotin, Vitamin B12 Supplement, Pyridoxine Hydrochloride, Folic Acid, Vitamin D3 Supplement), Choline Chloride, Taurine, minerals (Ferrous Sulfate, Zinc Oxide, Copper Sulfate, Manganous Oxide, Calcium Iodate, Sodium Selenite), Natural Flavors, L-Tryptophan, Mixed Tocopherols for freshness, L-Carnitine, Beta-Carotene."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , "HELPFUL TIPSAdjust feeding amounts as necessary to maintain optimal weight. If you are unsure, ask your veterinarian.New to this food? Mix increasing amounts of your pet's new food with decreasing amounts of the old food over a 7-day period.Keep fresh water available at all times!Your pets nutritional needs may change as they age. Ask your vet at every checkup.To prevent suffocation, keep the packaging out of the reach of pets and children."                                                                                                                                                                                                                                                                                                                                                                          , "Hill's Science Diet Youthful Vitality Small & Mini dog food provides precisely balanced nutrition to fight effects of aging in your Adult 7+ dog. A proprietary blend of ingredients supports brain function, interaction, energy & vitality Omega-3 & -6 fatty acids for a luxurious coat Easy-to-digest ingredients for healthy digestion"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , 3651 kcal/kg 342 kcal/cup†                                                                                                                                                , 22.4 % , 14.6 %, 55.6 %            , 1.2 %      , 1.01 % , 0.68 %    , 0.96 %   , 0.36 %, 0.093 %  , 250 ppm  , 1213 IU/kg, 0.84 %          , 3.75 %          , 6.2 %, 13123 IU/kg, 1231 IU/kg, 0.86 ppm     ,        ,          ,        ,            ,                    ,                    ,       ,        ,              ,                                           ,         ,           ,                      ,        ,        ,        ,          , 
https://www.hillspet.com/dog-food/pd-canine-zd-low-fat-hydrolyzed-soy-canned                                        , z/d Low Fat Hydrolyzed Soy Recipe Wet Dog Food                                           , Nutrition specially formulated with hydrolyzed soy protein and low fat levels to help avoid adverse food reactions and promote healthy skin in dogs with food and fat sensitivities. Fortified with Hill's breakthrough ActivBiome+ ingredient technology clinically shown to rapidly activate the gut microbiome to support digestive health and well-being.                                                                                           , N/A      , N/A   , N/A , Adult Dogs                                                                                                                                                                        , "Water, corn starch, hydrolyzed soy protein, soybean oil, dicalcium phosphate, hydrolyzed chicken flavor, ground pecan shells, coconut oil, potassium chloride, flaxseed, dried beet pulp, vitamins (vitamin E supplement, thiamine mononitrate, ascorbic acid (source of vitamin C), niacin supplement, calcium pantothenate, vitamin A supplement, vitamin B12 supplement, pyridoxine hydrochloride, menadione sodium bisulfate complex (source of vitamin K), riboflavin supplement, biotin, folic acid, vitamin D3 supplement), choline chloride, dried citrus pulp, fish oil, pressed cranberries, magnesium oxide, taurine, monosodium phosphate, minerals (zinc oxide, ferrous sulfate, manganous oxide, copper sulfate, calcium iodate, sodium selenite), L-carnitine, beta-carotene."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , Ask your veterinarian for specific feeding instructions for your pet.Daily Feeding Recommendations are only a guide and a place to start.Grams are the most accurate form of measurement; cups are estimated from grams. For best results:– Gradually transition to this new food for 7 days or more.– Exclusively feed the recommended Prescription Diet dry and wet foods.– Keep fresh water available at all times.– Have your veterinarian monitor your pet's condition.– Cover and refrigerate unused portion.                                                                                                                                                                                                                                                                                                                     , "Dogs with recurrent gastrointestinal upset may have a food or fat sensitivity. Dogs that have a food allergies (typically to a protein in the food) or intolerance, may respond to a food designed for food sensitivities while dogs with a fat sensitivity require a low fat food but determining which nutrition to use is frequently a trial and error process."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,                                                                                                                                                                           , 29.9 % , 9.4 % , 53 %              , 1.3 %      , 0.9 %  , 0.72 %    , 0.99 %   , 0.37 %, 0.115 %  , 109 ppm  , 1584 IU/kg, 0.75 %          , 3.38 %          ,      ,            ,           ,              , 0.065 %, 305.2 ppm,        ,            ,                    ,                    ,       ,        ,              ,                                           ,         ,           ,                      ,        ,        ,        ,          , 
https://www.hillspet.com/dog-food/pd-cd-multicare-canine-chicken-and-vegetable-canned                               , c/d Multicare Chicken & Vegetable Stew Dog Food                                          , Support for your dog’s urinary health                                                                                                                                                                                                                                                                                                                                                                                                                   , N/A      , N/A   , N/A , Adult Dogs                                                                                                                                                                        , "Water, Chicken, Pork Liver, Carrots, Rice, Green Peas, Corn Starch, Powdered Cellulose, Soybean Oil, Hydrolyzed Chicken Flavor, Chicken Liver Flavor, Potassium Alginate, Wheat Gluten, Calcium Chloride, Guar Gum, Dicalcium Phosphate, Flaxseed, Potassium Citrate, Fish Oil, Calcium Lactate, Calcium Gluconate, vitamins (Vitamin E Supplement, Thiamine Mononitrate, Pyridoxine Hydrochloride, Niacin Supplement, Calcium Pantothenate, Vitamin B12 Supplement, Biotin, Riboflavin Supplement, Vitamin D3 Supplement, Folic Acid), Sodium Tripolyphosphate, Choline Chloride, Taurine, minerals (Zinc Oxide, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate), L-Carnitine, Beta-Carotene."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , Ask your veterinarian for specific feeding instructions for your pet. Daily Feeding Recommendations are only a guide and a place to start. Grams are the most accurate form of measurement; cups are estimated from grams.For best results:Gradually transition to this new food for 7 days or moreExclusively feed the recommended Prescription Diet dry and wet foodsKeep fresh water available at all timesHave your veterinarian monitor your pet's conditionCover and refrigerate unused portion                                                                                                                                                                                                                                                                                                                                   , "Bladder stones are collections of mineral crystals that combine together in the urinary tract. They can cause discomfort and lead to more serious problems that require the care of a veterinarian. 방광 내 결석 형성 요소 농도 감소 칼슘 함량 조절, 낮은 나트륨 함량, 구연산칼륨 함유 풍부한 오메가3 지방산으로 비뇨기 건강 촉진에 도움"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , "266 kcal / 12.5 oz (354 g) can
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           117 kcal / 5.5 oz (156 g) can"                                                                                                                                            , 22.8 % , 18.3 %, 48.5 %            , 5 %        , 0.88 % , 0.54 %    , 1 %      , 0.29 %, 0.051 %  ,          , 825 IU/kg , 0.8 %           ,                 ,      ,            ,           ,              ,        ,          ,        ,            ,                    ,                    ,       ,        ,              ,                                           ,         ,           ,                      ,        ,        ,        ,          , 
https://www.hillspet.com/dog-food/pd-dd-canine-potato-and-venison-formula-dry                                       , d/d Potato & Venison Recipe Dry Dog Food                                                 , Limited ingredient dog food to support a dog's food sensitivities                                                                                                                                                                                                                                                                                                                                                                                       , N/A      , N/A   , N/A , Adult Dogs                                                                                                                                                                        , "Potatoes, Potato Starch, Venison, Potato Protein, Soybean Oil, Coconut Oil, Powdered Cellulose, Pork Liver Flavor, Dicalcium Phosphate, Lactic Acid, Fish Oil, Potassium Chloride, Glyceryl Monostearate, Calcium Carbonate, Iodized Salt, Choline Chloride, vitamins (Vitamin E Supplement, L-Ascorbyl-2-Polyphosphate (source of Vitamin C), Niacin Supplement, Thiamine Mononitrate, Calcium Pantothenate, Pyridoxine Hydrochloride, Vitamin A Supplement, Riboflavin Supplement, Biotin, Vitamin B12 Supplement, Folic Acid, Vitamin D3 Supplement), DL-Methionine, Taurine, minerals (Ferrous Sulfate, Zinc Oxide, Copper Sulfate, Manganous Oxide, Calcium Iodate, Sodium Selenite), Mixed Tocopherols for freshness, Magnesium Oxide, Natural Flavors, Beta-Carotene."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , "Ask your veterinarian for specific feeding instructions for your pet. Refer to the Daily Feeding Guide as a place to start. Grams are the most accurate form of measurement; cups are estimated from grams.For best results:Gradually transition to this new food for 7 days or moreExclusively feed the recommended Prescription Diet dry and wet foodsKeep fresh water available at all timesHave your veterinarian monitor your pet's conditionTo prevent suffocation, keep the packaging out of the reach of pets & children"                                                                                                                                                                                                                                                                                                      , "There can be a variety of reasons for a dog's itchy skin condition, including sensitivities to food. The good news is, most pets with these skin conditions can benefit simply by eating the right food. Limited ingredient nutrition with a single animal protein to avoid common allergens in dogs with food sensitivities Free from soy protein High levels of Omega-3 fatty acids Clinically proven antioxidants"                                                                                                                                                                                                                                                                                                                                                                                                                                     , 3636 kcal/kg 371 kcal/cup†                                                                                                                                                , 18.5 % , 16 %  , 55.7 %            , 3.3 %      , 0.9 %  , 0.61 %    , 0.95 %   , 0.37 %, 0.069 %  , 109 ppm  , 708 IU/kg , 0.9 %           , 3.38 %          ,      ,            ,           ,              ,        ,          ,        ,            ,                    ,                    ,       ,        ,              ,                                           ,         ,           ,                      ,        ,        ,        ,          , 
https://www.hillspet.com/dog-food/pd-canine-treats                                                                  , Original Dog Treats                                                                      , Healthy crunchy biscuit dog treats are a delicious complement to many Prescription Diet Dog Foods                                                                                                                                                                                                                                                                                                                                                       , N/A      , N/A   , N/A , Adult Dogs                                                                                                                                                                        , "Whole Grain Corn, Whole Grain Wheat, Soybean Mill Run, Powdered Cellulose, Chicken Liver Flavor, Chicken By-Product Meal, Soybean Oil, Pork Protein Isolate, Egg Product, Calcium Carbonate, Potassium Chloride, Choline Chloride, Caramel color, vitamins (Vitamin E Supplement, Niacin Supplement, Thiamine Mononitrate, Vitamin A Supplement, Calcium Pantothenate, Biotin, Vitamin B12 Supplement, Pyridoxine Hydrochloride, Riboflavin Supplement, Folic Acid, Vitamin D3 Supplement), minerals (Ferrous Sulfate, Zinc Oxide, Copper Sulfate, Manganous Oxide, Sodium Selenite, Calcium Iodate), Iron Oxide color, Mixed Tocopherols for freshness, Natural Flavors."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , "Ask your veterinarian for specific feeding instructions for your pet.Use only as directed by your veterinarian.Your pet's nutritional needs may change as they age. Ask your vet at every checkup.To prevent suffocation, keep the plastic bag out of the reach of pets and children."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , "Prescription Diet OriginalDog Treats are for adult dogs to enjoy a delicious treat without compromising the effectiveness of certain Prescription Diet foods. Treat enjoyment without compromising the effectiveness of their Prescription Diet food Reduced phosphorus, sodium and protein Low calories & high fiber Easily digestible nutrients, with added fiber"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                                                           , 15.4 % , 7.1 % , 51.9 %            , 16.3 %     , 0.63 % ,           , 0.72 %   , 0.11 %, 0.12 %   ,          ,           ,                 ,                 ,      ,            ,           ,              ,        ,          ,        ,            ,                    ,                    ,       ,        ,              ,                                           ,         ,           ,                      ,        ,        ,        ,          , 
https://www.hillspet.com/dog-food/pd-dd-canine-potato-and-duck-formula-dry                                          , d/d Potato & Duck Recipe Dog Food                                                        , Limited ingredient dog food to support your dog's food sensitivities                                                                                                                                                                                                                                                                                                                                                                                    , N/A      , N/A   , N/A , Adult Dogs                                                                                                                                                                        , "Potatoes, Potato Starch, Duck, Potato Protein, Soybean Oil, Coconut Oil, Powdered Cellulose, Pork Liver Flavor, Dicalcium Phosphate, Lactic Acid, Fish Oil, Potassium Chloride, Glyceryl Monostearate, Calcium Carbonate, Iodized Salt, Choline Chloride, vitamins (Vitamin E Supplement, L-Ascorbyl-2-Polyphosphate (source of Vitamin C), Niacin Supplement, Thiamine Mononitrate, Calcium Pantothenate, Pyridoxine Hydrochloride, Vitamin A Supplement, Riboflavin Supplement, Biotin, Vitamin B12 Supplement, Folic Acid, Vitamin D3 Supplement), DL-Methionine, Taurine, Magnesium Oxide, minerals (Ferrous Sulfate, Zinc Oxide, Copper Sulfate, Manganous Oxide, Calcium Iodate, Sodium Selenite), Mixed Tocopherols for freshness, Natural Flavors, Beta-Carotene."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , "Ask your veterinarian for specific feeding instructions for your pet. Refer to the Daily Feeding Guide as a place to start. Grams are the most accurate form of measurement; cups are estimated from grams.For best results:Gradually transition to this new food for 7 days or moreExclusively feed the recommended Prescription Diet dry and wet foodsKeep fresh water available at all timesHave your veterinarian monitor your pet's conditionTo prevent suffocation, keep the packaging out of the reach of pets & children"                                                                                                                                                                                                                                                                                                      , "There can be a variety of reasons for a dog's itchy skin condition, including sensitivities to food. The good news is, most pets with these skin conditions can benefit simply by eating the right food. Limited ingredient nutrition with a single, animal protein to avoid common allergens in dogs with food sensitivities Free from soy protein High levels of Omega-3 fatty acids Clinically proven antioxidants"                                                                                                                                                                                                                                                                                                                                                                                                                                    , 3651 kcal/kg 373 kcal/cup†                                                                                                                                                , 18.5 % , 16 %  , 56.1 %            , 3.3 %      , 0.85 % , 0.58 %    , 0.95 %   , 0.37 %, 0.1 %    , 110 ppm  , 707 IU/kg , 0.9 %           , 3.35 %          ,      ,            ,           ,              , 0.221 %, 0 ppm    ,        ,            ,                    ,                    ,       ,        ,              ,                                           ,         ,           ,                      ,        ,        ,        ,          , 
