    , Breed                     , Disease_x                                           , Count        , Disorder                                                   , Disease_y
   0, yorkshire terrier         , Уролитиаз/МКБ                                       , 18           , Inherited cardiovascular disorders                         , Patent ductus arteriosus (PDA)
   1, yorkshire terrier         , Уролитиаз/МКБ                                       , 18           , Inherited cardiovascular disorders                         , Portosystemic shunt
   2, yorkshire terrier         , Уролитиаз/МКБ                                       , 18           , Inherited disorders of the urinary and reproductive systems, "Cryptorchidism, retained testicle"
   3, yorkshire terrier         , Уролитиаз/МКБ                                       , 18           , Inherited disorders of the urinary and reproductive systems, Urolithiasis (stones)
   4, yorkshire terrier         , Уролитиаз/МКБ                                       , 18           , Inherited endocrine disorders                              , Hyperadrenocorticism (Cushing's syndrome)
   5, yorkshire terrier         , Уролитиаз/МКБ                                       , 18           , Inherited eye disorders                                    , Cataracts
   6, yorkshire terrier         , Уролитиаз/МКБ                                       , 18           , Inherited eye disorders                                    , Entropion
   7, yorkshire terrier         , Уролитиаз/МКБ                                       , 18           , Inherited eye disorders                                    , "Keratoconjunctivitis sicca (KCS) - ""dry eye"""
   8, yorkshire terrier         , Уролитиаз/МКБ                                       , 18           , Inherited eye disorders                                    , Retinal dysplasia
   9, yorkshire terrier         , Уролитиаз/МКБ                                       , 18           , Inherited eye disorders                                    , Corneal dystrophy
  10, yorkshire terrier         , Уролитиаз/МКБ                                       , 18           , Inherited eye disorders                                    , Progressive retinal atrophy
  11, yorkshire terrier         , Уролитиаз/МКБ                                       , 18           , Inherited gastrointestinal disorders                       , Portosystemic shunt
  12, yorkshire terrier         , Уролитиаз/МКБ                                       , 18           , Inherited musculoskeletal disorders                        , Patellar luxation
  13, yorkshire terrier         , Уролитиаз/МКБ                                       , 18           , Inherited nervous system disorders                         , Hydrocephalus
  14, yorkshire terrier         , Уролитиаз/МКБ                                       , 18           , Inherited nervous system disorders                         , Shaker dog syndrome
  15, yorkshire terrier         , Уролитиаз/МКБ                                       , 18           , Inherited respiratory disorders                            , tracheal collapse
  16, yorkshire terrier         , Уролитиаз/МКБ                                       , 18           , Inherited skin disorders                                   , colour dilution alopecia
  17, yorkshire terrier         , Уролитиаз/МКБ                                       , 18           , Inherited skin disorders                                   , congenital hypotrichosis
  18, yorkshire terrier         , Уролитиаз/МКБ                                       , 18           , Inherited skin disorders                                   , dermoid sinus
  19, german shepherd dog       , Уролитиаз/МКБ                                       , 3            ,                                                            , 
  20, russian toy               , Уролитиаз/МКБ                                       , 7            ,                                                            , 
  21, chihuahua                 , Уролитиаз/МКБ                                       , 3            , Inherited blood disorders                                  , Hemophilia
  22, chihuahua                 , Уролитиаз/МКБ                                       , 3            , Inherited cardiovascular disorders                         , Mitral valve dysplasia
  23, chihuahua                 , Уролитиаз/МКБ                                       , 3            , Inherited cardiovascular disorders                         , Patent ductus arteriosus (PDA)
  24, chihuahua                 , Уролитиаз/МКБ                                       , 3            , Inherited cardiovascular disorders                         , Pulmonic stenosis
  25, chihuahua                 , Уролитиаз/МКБ                                       , 3            , Inherited disorders of the urinary and reproductive systems, "Cryptorchidism, retained testicle"
  26, chihuahua                 , Уролитиаз/МКБ                                       , 3            , Inherited eye disorders                                    , "Keratoconjunctivitis sicca (KCS) - ""dry eye"""
  27, chihuahua                 , Уролитиаз/МКБ                                       , 3            , Inherited eye disorders                                    , Corneal dystrophy
  28, chihuahua                 , Уролитиаз/МКБ                                       , 3            , Inherited eye disorders                                    , Glaucoma
  29, chihuahua                 , Уролитиаз/МКБ                                       , 3            , Inherited eye disorders                                    , Progressive retinal atrophy
  30, chihuahua                 , Уролитиаз/МКБ                                       , 3            , Inherited musculoskeletal disorders                        , Patellar luxation
  31, chihuahua                 , Уролитиаз/МКБ                                       , 3            , Inherited nervous system disorders                         , Chiari-like malformation (CM) and syringomyelia (SM)
  32, chihuahua                 , Уролитиаз/МКБ                                       , 3            , Inherited nervous system disorders                         , Hydrocephalus
  33, chihuahua                 , Уролитиаз/МКБ                                       , 3            , Inherited nervous system disorders                         , Neuroaxonal dystrophy
  34, chihuahua                 , Уролитиаз/МКБ                                       , 3            , Inherited nervous system disorders                         , Spina bifida
  35, chihuahua                 , Уролитиаз/МКБ                                       , 3            , Inherited skin disorders                                   , colour dilution alopecia
  36, chihuahua                 , Уролитиаз/МКБ                                       , 3            , Inherited skin disorders                                   , Demodicosis/ Demodectic mange
  37, chihuahua                 , Уролитиаз/МКБ                                       , 3            , Inherited skin disorders                                   , pattern baldness
  38, german spitz              , Уролитиаз/МКБ                                       , 3            ,                                                            , 
  39, pomeranian                , Уролитиаз/МКБ                                       , 2            , Inherited cardiovascular disorders                         , Patent ductus arteriosus (PDA)
  40, pomeranian                , Уролитиаз/МКБ                                       , 2            , Inherited cardiovascular disorders                         , Sick sinus syndrome
  41, pomeranian                , Уролитиаз/МКБ                                       , 2            , Inherited disorders of the urinary and reproductive systems, "Cryptorchidism, retained testicle"
  42, pomeranian                , Уролитиаз/МКБ                                       , 2            , Inherited endocrine disorders                              , Growth hormone-responsive dermatosis; adrenal sex hormone responsive dermatosis
  43, pomeranian                , Уролитиаз/МКБ                                       , 2            , Inherited endocrine disorders                              , Hypothyroidism
  44, pomeranian                , Уролитиаз/МКБ                                       , 2            , Inherited eye disorders                                    , Cataracts
  45, pomeranian                , Уролитиаз/МКБ                                       , 2            , Inherited eye disorders                                    , Entropion
  46, pomeranian                , Уролитиаз/МКБ                                       , 2            , Inherited eye disorders                                    , Progressive retinal atrophy
  47, pomeranian                , Уролитиаз/МКБ                                       , 2            , Inherited immune disorders                                 , Cyclic hematopoiesis
  48, pomeranian                , Уролитиаз/МКБ                                       , 2            , Inherited musculoskeletal disorders                        , Patellar luxation
  49, pomeranian                , Уролитиаз/МКБ                                       , 2            , Inherited musculoskeletal disorders                        , Intervertebral disk disease
  50, pomeranian                , Уролитиаз/МКБ                                       , 2            , Inherited nervous system disorders                         , Hydrocephalus
  51, pomeranian                , Уролитиаз/МКБ                                       , 2            , Inherited nervous system disorders                         , Intervertebral disk disease
  52, pomeranian                , Уролитиаз/МКБ                                       , 2            , Inherited respiratory disorders                            , tracheal collapse
  53, pomeranian                , Уролитиаз/МКБ                                       , 2            , Inherited skin disorders                                   , Growth hormone-responsive dermatosis; adrenal sex hormone responsive dermatosis
  54, pomeranian                , Уролитиаз/МКБ                                       , 2            , Inherited skin disorders                                   , sebaceous adenitis
  55, central asian shepherd dog, Уролитиаз/МКБ                                       , 1            ,                                                            , 
