   , Breed                     , Disease                                  , Count        , description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , temperament                              , popularity, min_height, max_height, min_weight         , max_weight        , min_expectancy, max_expectancy, group                   , grooming_frequency_value, grooming_frequency_category, shedding_value, shedding_category, energy_level_value, energy_level_category , trainability_value, trainability_category, demeanor_value, demeanor_category
  0, Yorkshire Terrier         , Urolithiasis (stones)                    , 18           , "The Yorkshire Terrier is a compact, toy-size terrier of no more than seven pounds whose crowning glory is a floor-length, silky coat of steel blue and a rich golden tan.Don’t let the Yorkie’s daintiness fool you. Tenacious, feisty, brave, and sometimes bossy, the Yorkie exhibits all the traits of a true terrier. Often named the most popular dog breed in various American cities, Yorkies pack lots of big-town attitude into a small but self-important package. They are favorites of urbanites the world over.Yorkies are long-lived and low-allergen (the coat is more like human hair than animal fur), and they make fine little watchdogs. This is a true “personality breed,” providing years of laughs, love, and close companionship. Beneath the dainty, glossy, floor-length coat of a Yorkshire Terrier beats the heart of a feisty, old-time terrier. Yorkies earned their living as ratters in mines and mills long before they became the beribboned lapdogs of Victorian ladies."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , "Affectionate, Sprightly, Tomboyish"     ,         10,      17.78,      20.32,  3.17514659        ,  3.17514659       ,           11.0,           15.0, Toy Group               ,                      1.0, Specialty/Professional     ,            0.2, Infrequent       ,                0.6, Regular Exercise      ,                0.2, May be Stubborn      ,            0.8, Friendly
  1, German Shepherd Dog       , Urolithiasis (stones)                    , 3            , "German Shepherd Dogs can stand as high as 26 inches at the shoulder and, when viewed in outline, presents a picture of smooth, graceful curves rather than angles. The natural gait is a free-and-easy trot, but they can turn it up a notch or two and reach great speeds.There are many reasons why German Shepherds stand in the front rank of canine royalty, but experts say their defining attribute is character: loyalty, courage, confidence, the ability to learn commands for many tasks, and the willingness to put their life on the line in defense of loved ones. German Shepherds will be gentle family pets and steadfast guardians, but, the breed standard says, there’s a “certain aloofness that does not lend itself to immediate and indiscriminate friendships.” Generally considered dogkind’s finest all-purpose worker, the German Shepherd Dog is a large, agile, muscular dog of noble character and high intelligence. Loyal, confident, courageous, and steady, the German Shepherd is truly a dog lover’s delight."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , "Confident, Courageous, Smart"           ,          2,      55.88,      66.04, 22.6796185         , 40.8233133        ,            7.0,           10.0, Herding Group           ,                      0.4, Weekly Brushing            ,            0.8, Regularly        ,                0.6, Regular Exercise      ,                1.0, Eager to Please      ,            0.6, Alert/Responsive
  2, Russian Toy               , Urolithiasis (stones)                    , 7            , "The Russian Toy is a toy breed with a lineage that dates back to the Russian aristocracy. In general, he is a good-natured imp that loves to run and play. They will dash through the house or yard chasing toys as long as you can keep up, while many others are willing to do nothing more than lounge in your lap all day long, content in knowing that they are the prize jewel in your home. They thrive on human companionship and will let you know if they are feeling neglected. Their coat is either semi-long or smooth. The longhaired variety carries a nice ruff on the chest and unique feathering on the extremities, tail and ears. Long-coated Russian Toys will not have an adult coat until it is more than a year old and full fringing not until three years of age. The smooth-coated variety is sleek and smooth to the touch. There is also a slight attitude difference between the two varieties. Smooth Coats tend to be a little more terrier-like than Long Coats. However, both share a larger-than-life personality. Club Contact DetailsClub: Russian Toy Club of AmericaName: Martha GuimondEmail: secretary@russiantoyclub.orgAddress: P.O. Box 1851, Blanco, TX 78606Phone: (210) 401-5134 The Russian Toy is a small, elegant, lively dog with long legs, fine bones and lean muscles. They are active and cheerful, possessing keen intelligence and a desire to please. This breed loves to snuggle and be close to their human companions, although sometimes slightly aloof to strangers. They are neither cowardly nor aggressive.", "Loyal, Smart, Charming"                 ,           ,      20.32,      27.94,  2.948350405       ,  2.948350405      ,           12.0,           14.0, Miscellaneous Class     ,                      0.4, Weekly Brushing            ,            0.2, Infrequent       ,                0.6, Regular Exercise      ,                0.6, Agreeable            ,            0.8, Friendly
  3, Chihuahua                 , Urolithiasis (stones)                    , 3            , "The Chihuahua is a balanced, graceful dog of terrier-like demeanor, weighing no more than 6 pounds. The rounded “apple” head is a breed hallmark. The erect ears and full, luminous eyes are acutely expressive. Coats come in many colors and patterns, and can be long or short. The varieties are identical except for coat.Chihuahuas possess loyalty, charm, and big-dog attitude. Even tiny dogs require training, and without it this clever scamp will rule your household like a little Napoleon. Compact and confident, Chihuahuas are ideal city pets. They are too small for roughhousing with kids, and special care must be taken in cold weather, but Chihuahuas are adaptable—as long as they get lots of quality time in their preferred lap. The Chihuahua is a tiny dog with a huge personality. A national symbol of Mexico, these alert and amusing ""purse dogs"" stand among the oldest breeds of the Americas, with a lineage going back to the ancient kingdoms of pre-Columbian times."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , "Charming, Graceful, Sassy"              ,         33,      12.7 ,      20.32,  2.72155422        ,  2.72155422       ,           14.0,           16.0, Toy Group               ,                      0.2, Occasional Bath/Brush      ,            0.4, Occasional       ,                0.6, Regular Exercise      ,                0.4, Independent          ,            0.6, Alert/Responsive
  4, German Spitz              , Urolithiasis (stones)                    , 3            , "Spitz breeds like the German Spitz are captivating on account of their beautiful coats, made to stand off by a plentiful undercoat. Particularly impressive is his strong, mane-like collar around his neck, called a ruff, and the bushy tail carried boldly over his back. His foxy head, alert eyes, and small, pointed, closely-set ears give the German Spitz his unique cheeky appearance. His coat comes in a variety of colors including white, black, cream, gold, black and tan, sable, and chocolate brown. Though easily trainable, this lively and intelligent breed can also have an independent streak. If properly trained (so as not to be too noisy) and well socialized, the German Spitz will be happy mingling with other people and dogs. The German Spitz is always attentive, lively and exceptionally devoted to his owner. He is very teachable and easy to train. His distrust towards strangers and lack of hunting instinct make him the ideal watchdog for the home. His indifference to weather, robustness and longevity are his most outstanding attributes."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , "Devoted, Lively, Attentive"             ,           ,      30.48,      38.1 , 10.88621688        , 11.79340162       ,           13.0,           15.0, Foundation Stock Service,                      0.6, 2-3 Times a Week Brushing  ,            0.6, Seasonal         ,                0.6, Regular Exercise      ,                1.0, Eager to Please      ,            0.4, Reserved with Strangers
  5, Pomeranian                , Urolithiasis (stones)                    , 2            , "The Pomeranian combines a tiny body (no more than seven pounds) and a commanding big-dog demeanor. The abundant double coat, with its frill extending over the chest and shoulders, comes in almost two dozen colors, and various patterns and markings, but is most commonly seen in orange or red.Alert and intelligent, Pomeranians are easily trained and make fine watchdogs and perky pets for families with children old enough to know the difference between a toy dog and a toy. Poms are active but can be exercised with indoor play and short walks, so they are content in both the city and suburbs. They will master tricks and games with ease, though their favorite activity is providing laughs and companionship to their special human. The tiny Pomeranian, long a favorite of royals and commoners alike, has been called the ideal companion. The glorious coat, smiling, foxy face, and vivacious personality have helped make the Pom one of the world's most popular toy breeds."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , "Inquisitive, Bold, Lively"              ,         23,      15.24,      17.78,  1.36077711        ,  3.17514659       ,           12.0,           16.0, Toy Group               ,                      0.6, 2-3 Times a Week Brushing  ,            0.6, Seasonal         ,                0.6, Regular Exercise      ,                0.6, Agreeable            ,            0.6, Alert/Responsive
  6, Central Asian Shepherd Dog, Urolithiasis (stones)                    , 1            , "Central Asian Shepherd Dogs are a natural protective breed that require a non-stop observance for the life of the dog. They are not for first-time dog owners. They were formed as a breed from natural selection during more than four thousand years in a vast territory, which spreads nowadays from the Caspian Sea to China and from Southern Ural to Afghanistan. The Central Asian Shepherd Dog is self-assured, balanced, quiet, proud and independent. They are very courageous and have a high working capacity, endurance and a natural instinct of territory. This breed is known for its fearlessness towards large predators."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , "Independent, Courageous, Self-Confident",           ,      64.77,      69.85, 39.91612856        , 49.895160700000005,               ,               , Foundation Stock Service,                      0.2, Occasional Bath/Brush      ,            0.6, Seasonal         ,                0.4, Calm                  ,                0.4, Independent          ,            0.2, Aloof/Wary
  7, Siberian Husky            , Urolithiasis (stones)                    , 3            , "The graceful, medium-sized Siberian Husky’s almond-shaped eyes can be either brown or blue—and sometimes one of each—and convey a keen but amiable and even mischievous expression. Quick and nimble-footed, Siberians are known for their powerful but seemingly effortless gait. Tipping the scales at no more than 60 pounds, they are noticeably smaller and lighter than their burly cousin, the Alaskan Malamute. In fact, breeders and fanciers prefer the moniker Siberians over huskies, as the latter suggests a bigger, brawnier dog than what is the standard for the breed.As born pack dogs, Siberians enjoy family life and get on well with other dogs; their innate friendliness render them indifferent watchdogs. This breed is also energetic and can’t resist chasing small animals, so secure running room is a must. An attractive feature of the breed: Siberians are naturally clean, with little doggy odor. The Siberian Husky, a thickly coated, compact sled dog of medium size and great endurance, was developed to work in packs, pulling light loads at moderate speeds over vast frozen expanses. This northern breed is friendly, fastidious, and dignified."                                                                                                                                                                                                                                                                                                                                                                              , "Loyal, Mischievous, Outgoing"           ,         14,      50.8 ,      59.69, 15.875732950000002 , 27.2155422        ,           12.0,           14.0, Working Group           ,                      0.4, Weekly Brushing            ,            0.6, Seasonal         ,                0.8, Energetic             ,                0.4, Independent          ,            0.8, Friendly
  8, Pug                       , Urolithiasis (stones)                    , 14           , "The Pug’s motto is the Latin phrase “multum in parvo” (a lot in a little)—an apt description of this small but muscular breed. They come in three colors: silver or apricot-fawn with a black face mask, or all black. The large round head, the big, sparkling eyes, and the wrinkled brow give Pugs a range of human-like expressions—surprise, happiness, curiosity—that have delighted owners for centuries.Pug owners say their breed is the ideal house dog. Pugs are happy in the city or country, with kids or old folks, as an only pet or in a pack. They enjoy their food, and care must be taken to keep them trim. They do best in moderate climates—not too hot, not too cold—but, with proper care, Pugs can be their adorable selves anywhere. Once the mischievous companion of Chinese emperors, and later the mascot of Holland’s royal House of Orange, the small but solid Pug is today adored by his millions of fans around the world. Pugs live to love and to be loved in return."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , "Charming, Mischievous, Loving"          ,         28,      25.4 ,      33.02,  6.35029318        ,  8.164662660000001,           13.0,           15.0, Toy Group               ,                      0.4, Weekly Brushing            ,            0.8, Regularly        ,                0.6, Regular Exercise      ,                0.6, Agreeable            ,            0.8, Friendly
  9, French Bulldog            , Urolithiasis (stones)                    , 0            , "The French Bulldog resembles a Bulldog in miniature, except for the large, erect “bat ears” that are the breed’s trademark feature. The head is large and square, with heavy wrinkles rolled above the extremely short nose. The body beneath the smooth, brilliant coat is compact and muscular.The bright, affectionate Frenchie is a charmer. Dogs of few words, Frenchies don’t bark much—but their alertness makes them excellent watchdogs. They happily adapt to life with singles, couples, or families, and do not require a lot of outdoor exercise. They get on well with other animals and enjoy making new friends of the human variety. It is no wonder that city folk from Paris to Peoria swear by this vastly amusing and companionable breed. The one-of-a-kind French Bulldog, with his large bat ears and even disposition, is one of the world’s most popular small-dog breeds, especially among city dwellers. The Frenchie is playful, alert, adaptable, and completely irresistible."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , "Adaptable, Playful, Smart"              ,          4,      27.94,      33.02, 12.70058636        , 12.70058636       ,           10.0,           12.0, Non-Sporting Group      ,                      0.2, Occasional Bath/Brush      ,            0.8, Regularly        ,                0.4, Calm                  ,                0.6, Agreeable            ,            0.6, Alert/Responsive
