URL                                                                                                                         , Product Title                                                                   , Nutrition and caloric content
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-kd-with-chicken-canned                                      , k/d Kidney Care Wet Dog Food Original Can                                       , "338.2 kcal (370 g) can, 182.8 kcal (200 g) can"
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-ld-canned                                                   , l/d Wet Dog Food Original                                                       , 338.2 kcal (370 g) can
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-adult-advanced-fitness-large-breed-lamb-and-rice-dry             , Adult Large Breed Dry Dog Food with Lamb & Rice                                 , 3701 kcal/kg (370 kcal/100g)
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-mature-adult-7-plus-active-longevity-medium-with-chicken-dry     , Medium Mature Adult 7+ Dog Food with Chicken Dry Bag                            , 3682 kcal/kg (368 kcal/100g)
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-td-mini-dry                                                 , t/d Mini Dog Food                                                               , 3533 kcal/kg (353 kcal/100g)
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-puppy-healthy-development-medium-chicken-dry                     , Medium Puppy Food                                                               , 3749 kcal/kg (375 kcal/100g)
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-dd-duck-and-rice-dry                                        , d/d Food Sensitivities Dry Dog Food with Duck & Rice Bag                        , 3713 kcal/kg (371 kcal/100g)
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-adult-advanced-fitness-large-breed-with-chicken-dry              , Adult Large Breed Dry Dog Food with Chicken                                     , 3682 kcal/kg (368 kcal/100g)
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-mature-adult-7-plus-active-longevity-medium-lamb-and-rice-dry    , Mature Adult Medium Dog Food                                                    , 3663 kcal/kg (366 kcal/100g)
https://www.hillspet.co.uk/dog-food/sp-canine-adult-light-canned                                                            , Light Adult Wet Dog Food with Chicken                                           , 338 kcal (370 g) can
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-bd-dry                                                      , b/d Brain Ageing Care Dry Dog Food with Chicken Bag                             , 3588 kcal/kg (359 kcal/100g)
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-ud-dry                                                      , u/d Dry Dog Food Original                                                       , 3980 kcal/kg (398 kcal/100g)
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-td-dry                                                      , t/d Dog Food                                                                    , 3533 kcal/kg (353 kcal/100g)
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-adult-oral-care-chicken-dry                                      , Oral Care Adult Dry Dog Food with Chicken                                       , 3437 kcal/kg (344 kcal/100g)
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-ld-dry                                                      , l/d Dry Dog Food Original                                                       , 4067 kcal/kg (407 kcal/100g)
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-kd-dry                                                      , k/d Dog Food                                                                    , 4021 kcal/kg (402 kcal/100g)
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-adult-light-large-breed-chicken-dry                              , Light Adult Large Breed Dry Dog Food with Chicken                               , 3125 kcal/kg (313 kcal/100g)
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-puppy-healthy-development-lamb-and-rice-dry                      , Puppy Medium Breed Dry Dog Food with Lamb & Rice                                , 3829 kcal/kg (383 kcal/100g)
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-adult-medium-savoury-turkey-canned                               , Adult Wet Dog Food with Turkey                                                  , 355.9 kcal (370 g) can
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-adult-advanced-fitness-medium-lamb-and-rice-dry                  , Adult Medium Breed Dry Dog Food with Lamb & Rice                                , 3718 kcal/kg (372 kcal/100g)
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-puppy-healthy-development-large-breed-chicken-dry                , Puppy Large Breed Dry Dog Food with Chicken                                     , 3953 kcal/kg (395 kcal/100g)
https://www.hillspet.co.uk/dog-food/hills-canine-healthy-weight-dog-treats                                                  , Healthy Weight Dog Treats                                                       , 3405 kcal/kg
https://www.hillspet.co.uk/dog-food/hills-canine-hypoallergenic-dog-treats                                                  , Hypoallergenic Dog Treats                                                       , 3503 kcal/kg
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-cd-multicare-dry                                            , c/d Multicare Dry Dog Food with Chicken Bag                                     , 3770 kcal/kg (377 kcal/100g)
https://www.hillspet.co.uk/dog-food/sd-canine-adult-perfect-weight-small-mini-turkey-canned                                 , Perfect Weight Adult Small & Mini Breed Dog Mousse with Turkey                  , 151.6 kcal (200 g) can
https://www.hillspet.co.uk/dog-food/sp-canine-mature-adult-chicken-beef-canned-multipack                                    , Mature Adult Multipack Wet Dog Food with Chicken & Beef                         , 
https://www.hillspet.co.uk/dog-food/sp-canine-puppy-chicken-beef-canned-multipack                                           , Puppy Multipack Wet Dog Food with Chicken & Beef                                , 
https://www.hillspet.co.uk/dog-food/pd-canine-id-stress-mini-chicken-dry                                                    , i/d Stress Mini Dog Food                                                        , 3345 kcal/kg (335 kcal/100g)
https://www.hillspet.co.uk/dog-food/sp-canine-adult-chicken-turkey-beef-canned-multipack                                    , "Adult Multipack Wet Dog Food with Chicken, Turkey & Beef"                      , 
https://www.hillspet.co.uk/dog-food/ve-canine-vetessentials-senior-mature-adult-small-mini-dog-food-chicken-dry             , Multi-Benefit + Senior Health Mature Adult Small & Mini Dry Dog Food            , 3617 kcal/kg (362 kcal/100g)
https://www.hillspet.co.uk/dog-food/ve-canine-vetessentials-adult-multi-benefit-plus-weight-chicken-vegetables-canned       , Multi-Benefit + Weight Adult Wet Dog Food                                       , 322 kcal (363 g) can
https://www.hillspet.co.uk/dog-food/ve-canine-vetessentials-puppy-multi-benefit-chicken-canned                              , Multi-Benefit Puppy Wet Food                                                    , 462 kcal (363 g) can
https://www.hillspet.co.uk/dog-food/sp-canine-adult-perfect-digestion-small-mini-turkey-canned                              , Perfect Digestion Adult Small & Mini Breed Dog Mousse with Turkey               , 167 kcal
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-adult-small-mini-chicken-canned                                  , Small & Mini Breed Adult Dog Mousse with Chicken                                , 159.6 kcal (200 g) can
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-jd-with-chicken-canned                                      , j/d Wet Dog Food with Chicken                                                   , 337.4 kcal (370 g) can
https://www.hillspet.co.uk/dog-food/pd-canine-kd-plus-mobility-chicken-canned                                               , k/d + Mobility Dog Food                                                         , 377 kcal (370 g) can
https://www.hillspet.co.uk/dog-food/pd-canine-id-stress-mini-chicken-canned                                                 , i/d Stress Wet Dog Food with Chicken                                            , 189.6 kcal (200 g) can
https://www.hillspet.co.uk/dog-food/pd-gastrointestinal-biome-canine-small-bites-dry                                        , Gastrointestinal Biome Mini Dry Dog Food with Chicken Bag                       , 3430 kcal/kg (343 kcal/100g)
https://www.hillspet.co.uk/dog-food/sp-canine-senior-vitality-adult-7-plus-small-mini-chicken-rice-dry                      , Senior Vitality Mature Adult Small & Mini Breed Dry Dog Food with Chicken & Rice, 3621 kcal/kg (362 kcal/100g)
