URL                                                                                                                         , Product title                                                                   , Product description                                                             , Need/preference, Alternate product recommendation, Flavour                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , Sizes                    , Breed sizes                             , Lifestage             , Food form, Key benefits                                           , Recommended for                                                                                                                                                                  , Not recommended for                                                                                                                                                                  , Ingredients                                                                                                                   , Helpful tips                                                                                                               , Nutrition and caloric content
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-kd-with-chicken-canned                                      , k/d Kidney Care Wet Dog Food Original Can                                       , k/d Kidney Care Wet Dog Food Original Can                                       ,                ,                                 , Original                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , "180g, 350g"             ,                                         ,                       ,          , Prescription Diet; Science Plan; Vet Essentials; Treats,                                                                                                                                                                                  ,                                                                                                                                                                                      , Hill’s leads the way in combining natural ingredients with cutting-edge science to help your dog lead a long and healthy life., Mix increasing amounts of your pet’s new food with decreasing amounts of the old food over a 7-day period.More Feeding Tips, 
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-ld-canned                                                   , l/d Wet Dog Food Original                                                       , l/d Wet Dog Food Original                                                       ,                ,                                 , Original                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , 370g                     , "Small Breed, Medium Breed, Large Breed", Adult                 , Wet Food , Prescription Diet; Science Plan; Vet Essentials; Treats,                                                                                                                                                                                  ,                                                                                                                                                                                      , Hill’s leads the way in combining natural ingredients with cutting-edge science to help your dog lead a long and healthy life., Mix increasing amounts of your pet’s new food with decreasing amounts of the old food over a 7-day period.More Feeding Tips, 
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-adult-advanced-fitness-large-breed-lamb-and-rice-dry             , Adult Large Breed Dry Dog Food with Lamb & Rice                                 , Adult Large Breed Dry Dog Food with Lamb & Rice                                 ,                ,                                 , with Lamb & Rice                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , 14kg                     , Large Breed                             , Adult                 , Dry Food , Prescription Diet; Science Plan; Vet Essentials; Treats, Large breed adult dogs 1 - 5 years of age.                                                                                                                                       ,                                                                                                                                                                                      , Hill’s leads the way in combining natural ingredients with cutting-edge science to help your dog lead a long and healthy life., Mix increasing amounts of your pet’s new food with decreasing amounts of the old food over a 7-day period.More Feeding Tips, 
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-mature-adult-7-plus-active-longevity-medium-with-chicken-dry     , Medium Mature Adult 7+ Dog Food with Chicken Dry Bag                            , Medium Mature Adult 7+ Dog Food with Chicken Dry Bag                            ,                ,                                 , with Chicken                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , "2.5kg, 14kg, 18kg"      , Medium Breed                            , Senior                , Dry Food , Prescription Diet; Science Plan; Vet Essentials; Treats, Mature Adult dogs 7+ years of age.                                                                                                                                               , "Puppies, or adult dogs ("                                                                                                                                                           , Hill’s leads the way in combining natural ingredients with cutting-edge science to help your dog lead a long and healthy life., Mix increasing amounts of your pet’s new food with decreasing amounts of the old food over a 7-day period.More Feeding Tips, 
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-td-mini-dry                                                 , t/d Mini Dog Food                                                               , t/d Mini Dog Food                                                               ,                ,                                 , with Chicken                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 3kg                      , "Small Breed, Medium Breed, Large Breed", "Adult, Senior"       , Dry Food , Prescription Diet; Science Plan; Vet Essentials; Treats,                                                                                                                                                                                  ,                                                                                                                                                                                      , Hill’s leads the way in combining natural ingredients with cutting-edge science to help your dog lead a long and healthy life., Mix increasing amounts of your pet’s new food with decreasing amounts of the old food over a 7-day period.More Feeding Tips, 
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-puppy-healthy-development-medium-chicken-dry                     , Medium Puppy Food                                                               , Medium Puppy Food                                                               ,                ,                                 , with Chicken                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , "800g, 2.5kg, 14kg, 18kg", Medium Breed                            , Puppy/pregnant/nursing, Dry Food , Prescription Diet; Science Plan; Vet Essentials; Treats, Puppies up to 1 year old and pregnant or nursing dogs.                                                                                                                           , Adult or mature adult dogs.                                                                                                                                                          , Hill’s leads the way in combining natural ingredients with cutting-edge science to help your dog lead a long and healthy life., Mix increasing amounts of your pet’s new food with decreasing amounts of the old food over a 7-day period.More Feeding Tips, 
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-dd-duck-and-rice-dry                                        , d/d Food Sensitivities Dry Dog Food with Duck & Rice Bag                        , d/d Food Sensitivities Dry Dog Food with Duck & Rice Bag                        ,                ,                                 , with Duck & Rice                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , "1.5kg, 4kg, 12kg"       , "Small Breed, Medium Breed, Large Breed", "Adult, Senior"       , Dry Food , Prescription Diet; Science Plan; Vet Essentials; Treats,                                                                                                                                                                                  ,                                                                                                                                                                                      , Hill’s leads the way in combining natural ingredients with cutting-edge science to help your dog lead a long and healthy life., Mix increasing amounts of your pet’s new food with decreasing amounts of the old food over a 7-day period.More Feeding Tips, 
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-adult-advanced-fitness-large-breed-with-chicken-dry              , Adult Large Breed Dry Dog Food with Chicken                                     , Adult Large Breed Dry Dog Food with Chicken                                     ,                ,                                 , with Chicken                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , "2.5kg, 14kg, 18kg"      , Large Breed                             , Adult                 , Dry Food , Prescription Diet; Science Plan; Vet Essentials; Treats, Large breed adult dogs 1 - 5 years of age.                                                                                                                                       ,                                                                                                                                                                                      , Hill’s leads the way in combining natural ingredients with cutting-edge science to help your dog lead a long and healthy life., Mix increasing amounts of your pet’s new food with decreasing amounts of the old food over a 7-day period.More Feeding Tips, 
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-mature-adult-7-plus-active-longevity-medium-lamb-and-rice-dry    , Mature Adult Medium Dog Food                                                    , Mature Adult Medium Dog Food                                                    ,                ,                                 , with Lamb & Rice                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , 14kg                     , Medium Breed                            , Senior                , Dry Food , Prescription Diet; Science Plan; Vet Essentials; Treats, Mature Adult dogs 7+ years of age.                                                                                                                                               , "Puppies, or adult dogs ("                                                                                                                                                           , Hill’s leads the way in combining natural ingredients with cutting-edge science to help your dog lead a long and healthy life., Mix increasing amounts of your pet’s new food with decreasing amounts of the old food over a 7-day period.More Feeding Tips, 
https://www.hillspet.co.uk/dog-food/sp-canine-adult-light-canned                                                            , Light Adult Wet Dog Food with Chicken                                           , Light Adult Wet Dog Food with Chicken                                           ,                ,                                 , with Chicken                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 370g                     , "Small Breed, Medium Breed, Large Breed", Adult                 , Wet Food , Prescription Diet; Science Plan; Vet Essentials; Treats, "Adult dogs 1-6 years of age that require fewer calories (e.g. dogs that are less active, neutered or otherwise prone to weight gain)."                                          ,                                                                                                                                                                                      , Hill’s leads the way in combining natural ingredients with cutting-edge science to help your dog lead a long and healthy life., Mix increasing amounts of your pet’s new food with decreasing amounts of the old food over a 7-day period.More Feeding Tips, 
